Date;Open;High;Low;Close;Volume;Adj Close;Y_t
31-12-2007;1475.25;1475.82996;1465.13;1468.35999;2440880000;1468.35999;
28-12-2007;1479.82996;1488.01001;1471.69995;1478.48999;2420510000;1478.48999;0.2986
27-12-2007;1495.05005;1495.05005;1475.85999;1476.27002;2365770000;1476.27002;-0.0653
26-12-2007;1495.12;1498.84998;1488.19995;1497.66003;2010500000;1497.66003;0.6247
24-12-2007;1484.55005;1497.63;1484.55005;1496.44995;1267420000;1496.44995;-0.0351
21-12-2007;1463.18994;1485.40002;1463.18994;1484.45996;4508590000;1484.45996;-0.3494
20-12-2007;1456.42004;1461.53003;1447.21997;1460.12;3526890000;1460.12;-0.7180
19-12-2007;1454.69995;1464.42004;1445.31006;1453;3401300000;1453;-0.2123
18-12-2007;1445.92004;1460.16003;1435.65002;1454.97998;3723690000;1454.97998;0.0591
17-12-2007;1465.05005;1465.05005;1445.43005;1445.90002;3569030000;1445.90002;-0.2719
14-12-2007;1486.18994;1486.67004;1467.78003;1467.94995;3401050000;1467.94995;0.6573
13-12-2007;1483.27002;1489.40002;1469.20996;1488.41003;3635170000;1488.41003;0.6011
12-12-2007;1487.57996;1511.95996;1468.22998;1486.58997;4482120000;1486.58997;-0.0531
11-12-2007;1516.68005;1523.56995;1475.98999;1477.65002;4080180000;1477.65002;-0.2620
10-12-2007;1505.10999;1518.27002;1504.95996;1515.95996;2911760000;1515.95996;1.1116
7-12-2007;1508.59998;1510.63;1502.66003;1504.66003;3177710000;1504.66003;-0.3249
6-12-2007;1484.58997;1508.02002;1482.18994;1507.33997;3568570000;1507.33997;0.0773
5-12-2007;1465.21997;1486.08997;1465.21997;1485.01001;3663660000;1485.01001;-0.6482
4-12-2007;1471.33997;1471.33997;1460.66003;1462.79004;3343620000;1462.79004;-0.6547
3-12-2007;1479.63;1481.16003;1470.07996;1472.42004;3323250000;1472.42004;0.2850
30-11-2007;1471.82996;1488.93994;1470.89001;1481.14001;4422200000;1481.14001;0.2564
29-11-2007;1467.41003;1473.81006;1458.35999;1469.71997;3524730000;1469.71997;-0.3362
28-11-2007;1432.94995;1471.62;1432.94995;1469.02002;4508020000;1469.02002;-0.0207
27-11-2007;1409.58997;1429.48999;1407.43005;1428.22998;4320720000;1428.22998;-1.2230
26-11-2007;1440.73999;1446.08997;1406.09998;1407.21997;3706470000;1407.21997;-0.6436
23-11-2007;1417.62;1440.85999;1417.62;1440.69995;1612720000;1440.69995;1.0212
21-11-2007;1434.70996;1436.40002;1415.64001;1416.77002;4076230000;1416.77002;-0.7274
20-11-2007;1434.51001;1452.64001;1419.28003;1439.69995;4875150000;1439.69995;0.6973
19-11-2007;1456.69995;1456.69995;1430.42004;1433.27002;4119650000;1433.27002;-0.1944
16-11-2007;1453.08997;1462.18005;1443.98999;1458.73999;4168870000;1458.73999;0.7650
15-11-2007;1468.04004;1472.67004;1443.48999;1451.15002;3941010000;1451.15002;-0.2266
14-11-2007;1483.40002;1492.14001;1466.46997;1470.57996;4031470000;1470.57996;0.5776
13-11-2007;1441.34998;1481.37;1441.34998;1481.05005;4141310000;1481.05005;0.3081
12-11-2007;1453.66003;1464.93994;1438.53003;1439.18005;4192520000;1439.18005;-1.2455
9-11-2007;1467.58997;1474.08997;1448.51001;1453.69995;4587050000;1453.69995;0.4360
8-11-2007;1475.27002;1482.5;1450.31006;1474.77002;5439720000;1474.77002;0.6250
7-11-2007;1515.45996;1515.45996;1475.04004;1475.62;4353160000;1475.62;0.0250
6-11-2007;1505.32996;1520.77002;1499.06995;1520.27002;3879160000;1520.27002;1.2946
5-11-2007;1505.60999;1510.83997;1489.94995;1502.17004;3819330000;1502.17004;-0.5202
2-11-2007;1511.06995;1513.15002;1492.53003;1509.65002;4285990000;1509.65002;0.2157
1-11-2007;1545.79004;1545.79004;1506.66003;1508.43994;4241470000;1508.43994;-0.0348
31-10-2007;1532.15002;1552.76001;1529.40002;1549.38;3953070000;1549.38;1.1630
30-10-2007;1539.42004;1539.42004;1529.55005;1531.02002;3212520000;1531.02002;-0.5177
29-10-2007;1536.92004;1544.67004;1536.43005;1540.97998;3124480000;1540.97998;0.2816
26-10-2007;1522.17004;1535.53003;1520.18005;1535.28003;3612120000;1535.28003;-0.1609
25-10-2007;1516.15002;1523.23999;1500.45996;1514.40002;4183960000;1514.40002;-0.5947
24-10-2007;1516.60999;1517.22998;1489.56006;1515.88;4003300000;1515.88;0.0424
23-10-2007;1509.30005;1520.01001;1503.60999;1519.58997;3309120000;1519.58997;0.1062
22-10-2007;1497.79004;1508.06006;1490.40002;1506.32996;3471830000;1506.32996;-0.3806
19-10-2007;1540;1540;1500.26001;1500.63;4160970000;1500.63;-0.1646
18-10-2007;1539.29004;1542.79004;1531.76001;1540.07996;3203210000;1540.07996;1.1270
